Q_Leakage,Q_Leak_abs,Q_Leak_Rel,Q_irr,Q_irr_abs,Q_irr_Rel,Ratio,SOC,SiO,D,A
0.3442,-0.084,-19.61,4.5,0,0,13.07,50,15,3,2
0.1124,-0.2318,-67.35,7.65,3.15,70,68.08,50,15,4,3
0.1169,0.0046,4.05,9.67,2.02,26.41,82.7,50,15,5,4
0,0,0,0,-9.67,-100,0,50,15,6,5
3.9226,0,0,19.56,0,0,4.99,70,15,1,0
2.2035,-1.7191,-43.83,3.45,-16.11,-82.36,1.57,70,15,2,1
1.7338,-0.4696,-21.31,2.29,-1.16,-33.62,1.32,70,15,3,2
0.8859,-0.848,-48.91,2.23,-0.06,-2.62,2.52,70,15,4,3
1.1502,0.2644,29.84,1.61,-0.62,-27.8,1.4,70,15,5,4
0,0,0,0,-1.61,-100,0,70,15,6,5
12.6629,0,0,23.97,0,0,1.89,90,15,1,0
2.9786,-9.6843,-76.48,2,-21.97,-91.66,0.67,90,15,2,1
2.7851,-0.1935,-6.5,3.55,1.55,77.5,1.27,90,15,3,2
2.2991,-0.4861,-17.45,1.91,-1.64,-46.2,0.83,90,15,4,3
2.6712,0.3722,16.19,1.51,-0.4,-20.94,0.57,90,15,5,4
0,0,0,0,-1.51,-100,0,90,15,6,5
